school,scholarships,other,year,total_expenses,building_and_grounds,coaching_staff
Missouri,8546407,25884722,2013,70276015,7148185,28696701
Missouri,8280444,21708593,2012,66980889,10497228,26494624
Missouri,7668198,21281352,2011,64160358,10979434,24231374
Missouri,7278296,20515515,2010,61766109,10924880,23047418
Missouri,7079524,21003288,2009,58604216,8945452,21575952
Missouri,6517208,18543468,2008,51779677,7832225,18886776
Missouri,6309077,19325838,2007,57211839,14226886,17350038
Missouri,5927959,18446059,2006,56057181,14457523,17225640
Missouri,5686519,17943618,2005,46351896,6445731,16276028
Virginia,14317881,25402910,2014,87426105,15228835,32476479
Virginia,13520148,23699869,2013,84201789,16291807,30689960
Virginia,12842671,23616846,2012,75437849,10062137,28916195
Virginia,12689991,21926170,2011,72400342,10761557,27022624
Virginia,11684196,24388635,2010,70870412,9844490,24953091
Virginia,11887012,20640267,2009,63696905,7128564,24041062
Virginia,9567702,24569214,2008,65838543,9368962,22332665
Virginia,10516861,22336261,2007,64852417,11372945,20626350
Virginia,8775941,18154273,2006,51591398,4875111,19786073
Virginia,8154552,19309063,2005,59825403,15453674,16908114
Illinois,10897536,26930347,2014,83112351,20764804,24519664
Illinois,10870447,27756424,2013,78667480,16109440,23931169
Illinois,9929043,26230137,2012,76740736,16990372,23591184
Illinois,9847571,21418035,2011,73476818,20118624,22092588
Illinois,9687670,19837109,2010,71957222,21526245,20906198
Illinois,8845703,21259268,2009,73643345,22318521,21219853
Illinois,8476778,22048975,2008,63458807,13019084,19913970
Illinois,7857347,19190201,2007,51714927,7001526,17665853
Illinois,7418863,18063243,2006,50576001,8954894,16139001
Illinois,6297587,17701649,2005,47915540,8728621,15187683
West Virginia,9006681,31342225,2014,76618251,8366562,27902783
West Virginia,8737980,28010408,2013,73501593,10669275,26083930
West Virginia,8138086,51511876,2012,92968960,8976099,24342899
West Virginia,7158470,23104177,2011,61709469,6119801,25327021
West Virginia,7948195,22025725,2010,56607917,10268524,16365473
West Virginia,6617228,21766199,2009,53368035,9631058,15353550
West Virginia,6663670,21439182,2008,49052709,7574106,13375751
West Virginia,5870382,16302111,2007,42720691,8486098,12062100
West Virginia,5699400,14541687,2006,39160670,8018067,10901516
West Virginia,5346496,13645063,2005,35853722,6955206,9906957
Texas Tech,5649317,19030390,2014,69659608,19956262,25023639
Texas Tech,5517148,17988156,2013,66296446,19126486,23664656
Texas Tech,5687926,15850866,2012,60346836,16569582,22238462
Texas Tech,6096021,16086923,2011,56970651,12873003,21914704
Texas Tech,5633348,15199138,2010,59341489,19132161,19376842
Texas Tech,5166527,14812976,2009,53808480,14184300,19644677
Texas Tech,5399522,13276766,2008,51275866,13945515,18654063
Texas Tech,5061812,12770109,2007,51502786,16067671,17603194
Texas Tech,4770158,12555795,2006,52853607,15884051,19643603
Texas Tech,4606109,11078207,2005,46287452,16156657,14446479
Rutgers,10623500,33531563,2014,76656339,10973173,21528103
Rutgers,10402285,37837891,2013,78989475,9810788,20938511
Rutgers,10296880,21821644,2012,64038720,11212005,20708191
Rutgers,9558152,19441578,2011,60190100,11029885,20160485
Rutgers,8953847,23492110,2010,64203255,9896588,21860710
Rutgers,8434254,23823379,2009,58354222,4541325,21555264
Rutgers,7693148,22262782,2008,51748813,1995898,19796985
Rutgers,6935471,19089129,2007,44819848,1942991,16852257
Rutgers,6598167,17629455,2006,41824257,1837123,15759512
Rutgers,6304682,15704744,2005,37997629,1729587,14258616
Mississippi,7726498,29354957,2014,73293496,9621389,26590652
Mississippi,7052633,30381414,2013,71315807,10145223,23736537
Mississippi,6498082,15930117,2012,51708064,8929879,20349986
Mississippi,6031659,13087974,2011,47109301,8543000,19446668
Mississippi,5663536,13288011,2010,45737904,8716333,18070024
Mississippi,5579150,11156139,2009,41290128,10444073,14110766
Mississippi,4673231,10485038,2008,34769709,7710901,11900539
Mississippi,4369949,8859866,2007,33782527,7122766,13429946
Mississippi,4456514,8655324,2006,29412948,6852454,9448656
Mississippi,4197149,9639164,2005,28721832,4294982,10590537
Clemson,13006287,26413787,2014,73456221,4075894,29960253
Clemson,11239631,23540664,2013,67091087,4905711,27405081
Clemson,10939865,25978892,2012,67783797,6371303,24493737
Clemson,10425599,20672669,2011,58367884,6811774,20457842
Clemson,10003301,17869970,2010,56780518,9449349,19457898
Clemson,9328086,24250551,2009,61972760,11569653,16824470
Clemson,8749849,21855831,2008,60050712,11469668,17975364
Clemson,7574331,19624990,2007,54249905,11902341,15148243
Clemson,7062769,18675004,2006,46863188,8174139,12951276
Clemson,6083034,15132824,2005,39977199,6061441,12699900
Arizona State,12701825,28881111,2014,74553104,5742128,27228040
Arizona State,12136090,25630094,2013,65600187,5524944,22309059
Arizona State,11168165,27772743,2012,65587903,6452460,20194535
Arizona State,10362086,20645085,2011,57080884,7509366,18564347
Arizona State,9886143,22930951,2010,57905546,6411384,18677068
Arizona State,9296638,22419763,2009,53032149,4222727,17093021
Arizona State,9310610,23361339,2008,54296003,3519063,18104991
Arizona State,9057244,25775423,2007,54832410,4369881,15629862
Arizona State,7859854,22022298,2006,48897603,4219757,14795694
Arizona State,7110620,16863671,2005,39749018,2590651,13184076
Maryland,13290307,20886044,2014,72952894,11505316,27271227
Maryland,12840234,15188339,2013,63367929,10064248,25275108
Maryland,11928744,18728474,2012,68109639,11922781,25529640
Maryland,12554837,16598903,2011,61632000,8222870,24255390
Maryland,12254940,11582096,2010,54661992,7873492,22951464
Maryland,12558093,19774890,2009,62901837,7863534,22705320
Maryland,12505552,14960525,2008,56844987,7796194,21582716
Maryland,11358262,16348035,2007,55001995,7052434,20243264
Maryland,10629283,15540622,2006,49524563,4632822,18721836
Maryland,7327452,17951177,2005,46508648,4137522,17092497
Virginia Tech,11115036,18194603,2014,69597779,16523019,23765121
Virginia Tech,10237090,17151355,2013,66581916,16784257,22409214
Virginia Tech,10277000,18564532,2012,66970798,17318018,20811248
Virginia Tech,9374464,17363381,2011,62594797,16037144,19819808
Virginia Tech,8470679,14919566,2010,55738633,14013497,18334891
Virginia Tech,7830388,17280105,2009,58920659,15988964,17821202
Virginia Tech,6877972,17273501,2008,59157745,18019421,16986851
Virginia Tech,6291716,15630202,2007,56064171,17461407,16680846
Virginia Tech,5533641,12385095,2006,45311500,11832028,15560736
Virginia Tech,4870991,12029966,2005,37465129,7658341,12905831
Kansas State,7025714,23019278,2014,62576606,8067915,24463699
Kansas State,6136387,22725652,2013,59325573,7245316,23218218
Kansas State,5810959,19784827,2012,50994785,5939792,19459207
Kansas State,5566003,17848066,2011,46549248,4751118,18384061
Kansas State,5434688,16765154,2010,42337682,2523237,17614603
Kansas State,5547818,23915511,2009,51237044,3616368,18157347
Kansas State,5395704,15265761,2008,41362747,3401484,17299798
Kansas State,4774719,17898228,2007,40548866,3390468,14485451
Kansas State,4387615,13516383,2006,34834467,3067423,13863045
Kansas State,4497179,13176303,2005,34394621,3084436,13636704
Connecticut,12430169,26052816,2014,71396255,2262190,30651080
Connecticut,10893371,21863507,2013,63420811,2072828,28591105
Connecticut,10829905,23634233,2012,63828620,2108097,27256385
Connecticut,10369008,26586313,2011,62993983,1754333,24284329
Connecticut,9972360,23744952,2010,58379090,2215245,22446533
Connecticut,9275698,23809280,2009,58355426,3611548,21658900
Connecticut,8810389,23083800,2008,55025374,2380166,20751019
Connecticut,8488837,23007481,2007,52795923,2778275,18521330
Connecticut,7702354,20984326,2006,49912115,2967590,18257845
Connecticut,7696783,19704093,2005,47359002,2967563,16990563
